libkey,formal,address,tel,post,geocode,url_pc
,大阪大谷大学図書館,大阪府富田林市錦織北3丁目11-1,0721-24-1015,584-8540,"135.580910,34.481913",http://www.osaka-ohtani.ac.jp/facilities/library/
,大阪府立大学女性学研究センター資料室,大阪府堺市中区学園町1-1 B3棟1階,072-254-9948,599-8531,"135.504877,34.545402",https://www.omu.ac.jp/sss/cws/
,大阪産業大学綜合図書館,大阪府大東市中垣内3-1-1,072-873-1664,574-8530,"135.640457,34.707557",https://www.osaka-sandai.ac.jp/campuslife/library/
,大阪成蹊大学・短期大学図書館,大阪府大阪市東淀川区相川3丁目10-62,06-6829-2550,533-0007,"135.5371915,34.7593863",http://univ.osaka-seikei.jp/education/library/
,大阪信愛女学院図書館,大阪府大阪市城東区古市2-7-30,06-6939-4391,536-8585,"135.559127,34.711034",http://www.osaka-shinai.ac.jp/library/index.html
,大阪樟蔭女子大学図書館,大阪府東大阪市菱屋西4-2-26,06-6723-8182,577-8550,"135.57793,34.663437",http://lib.osaka-shoin.ac.jp/
,大阪経済大学図書館,大阪府大阪市東淀川区大隅2-2-8,06-6328-2431,533-8533,"135.545313,34.750163",http://www.osaka-ue.ac.jp/research/library/
,大手前大学・大手前短期大学図書館大阪図書館,大阪府大阪市中央区大手前2-1-88,06-6941-7083,540-0008,"135.519212,34.6881385",http://library.otemae.ac.jp/
,オーストラリア・ライブラリー,大阪府茨木市西安威2丁目1番15号 追手門学院大学安威キャンパス5号館5階,072-641-9640,567-8502,"135.5590899,34.8477403",https://library.otemon.ac.jp/australia/
,追手門学院大学附属図書館（安威キャンパス）,大阪府茨木市西安威2丁目1-15,072-641-9638,567-8502,"135.558122,34.848534",https://library.otemon.ac.jp/
,追手門学院大学附属図書館（総持寺キャンパス）「アラムナイライブラリー」,大阪府茨木市太田東芝町1番1号,072-697-8165,567-0013,"135.5773266,34.8372691",https://library.otemon.ac.jp/
,大阪体育大学図書館,大阪府泉南郡熊取町朝代台1-1,072-453-7026,590-0496,"135.359216,34.379398",http://lib.ouhs.ac.jp/
,大阪医科薬科大学薬学部図書館,大阪府高槻市奈佐原4丁目20番1号,072-690-1016,569-1094,"135.574413,34.863179",https://www.ompu.ac.jp/about/facilities/abuyama/library.html
,大阪夕陽丘学園短期大学図書館,大阪府大阪市天王寺区生玉寺町7−72,06-6779-9577,543-0073,"135.5132984,34.659861",https://www.oyg.ac.jp/lib/
,桃山学院教育大学図書館,大阪府堺市南区槇塚台4-5-1,072-296-8306,590-0114,"135.534700,34.483275",https://www.andrew-edu.ac.jp/campuslife/library.html
,立命館大学図書館「OICライブラリー」,大阪府茨木市岩倉町2-150,072-665-2520,567-8570,"135.561250,34.809925",https://www.ritsumei.ac.jp/lib/
,常翔啓光学園中学校・高等学校図書室,大阪府枚方市禁野本町1-13-21,072-848-0521,573-1197,"135.6586632,34.8169706",http://www.keiko.josho.ac.jp/
,大阪工業大学図書館大宮本館,大阪府大阪市旭区大宮5丁目16-1,06-6954-4108,535-8585,"135.543231,34.730335",http://www.oit.ac.jp/japanese/toshokan/
,大阪工業大学図書館枚方分館,大阪府枚方市北山1丁目79-1,072-866-5312,573-0196,"135.7050138,34.841361",http://www.oit.ac.jp/japanese/toshokan/
,大阪工業大学図書館梅田分館,大阪府大阪市北区茶屋町1-45,06-6147-6295,530-8568,"135.4995539,34.7050975",http://www.oit.ac.jp/japanese/toshokan/
,常翔学園中学校・高等学校図書室,大阪府大阪市旭区大宮5丁目16番1号,06-6954-4434,535-8585,"135.5457277,34.7308124",https://www.highs.josho.ac.jp/library/
,摂南大学図書館枚方分館,大阪府枚方市長尾峠町45-1,072-866-3102,573-0101,"135.705680,34.849520",http://www.setsunan.ac.jp/sisetsu/tosho/
,摂南大学図書館,大阪府寝屋川市池田中町17-8,072-839-9111,572-8508,"135.611345,34.780234",http://www.setsunan.ac.jp/sisetsu/tosho/
,四天王寺大学図書館,大阪府羽曳野市学園前3丁目2−1,072-956-9958,583-8501,"135.583256,34.546123",http://www.shitennoji.ac.jp/ibu/toshokan/
,相愛大学図書館,大阪府大阪市住之江区南港中4丁目4-1,06-6612-5931,559-0033,"135.427337,34.634146",http://www.soai.ac.jp/library/
,相愛大学本町図書館,大阪府大阪市中央区本町4丁目1-23,06-6262-0621,541-0053,"135.499326,34.684351",http://www.soai.ac.jp/library/
,宝塚大学大阪梅田キャンパス図書館,大阪府大阪市北区芝田1丁目13番16号,06-6376-0853 [大学],530-0012,"135.4968458,34.7078721",https://www.takara-univ.ac.jp/kango/facilities/index3.html
,帝塚山学院大学図書館,大阪府堺市南区晴美台4-2-2,072-296-1331,590-0113,"135.5323532,34.4899248",https://www.tezuka-gu.ac.jp/library/
,大阪観光大学図書館,大阪府泉南郡熊取町大久保南5-3-1,072-453-8222,590-0493,"135.339514,34.392891",https://tourism.opac.jp/opac/top
,大阪女学院図書館,大阪府大阪市中央区玉造2-26-54,06-6761-4021,540-0004,"135.527700,34.676991",http://www.wilmina.ac.jp/library/
